Filename,Code Path,quality,subsample,Model,Adjust_Effect_Size_Model
universe_54.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qblack,female == 0,regression,median_split
universe_55.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qblackxb,,regression,median_split
universe_56.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qblackxb,female == 1,regression,median_split
universe_57.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qblackxb,female == 0,regression,median_split
universe_58.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qwhite,,regression,median_split
universe_59.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qwhite,female == 1,regression,median_split
universe_60.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qwhite,female == 0,regression,median_split
universe_61.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qwhitexb,,regression,median_split
universe_62.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qwhitexb,female == 1,regression,median_split
universe_63.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qwhitexb,female == 0,regression,median_split
universe_64.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,h,,regression,none
universe_65.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,h,female == 1,regression,none
universe_66.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,h,female == 0,regression,none
universe_67.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,sumq_med,,regression,none
universe_68.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,sumq_med,female == 1,regression,none
universe_69.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,sumq_med,female == 0,regression,none
universe_70.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qall_med,,regression,none
universe_71.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qall_med,female == 1,regression,none
universe_72.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qall_med,female == 0,regression,none
universe_73.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qallxb_med,,regression,none
universe_74.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qallxb_med,female == 1,regression,none
universe_75.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qallxb_med,female == 0,regression,none
universe_76.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qblack_med,,regression,none
universe_77.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qblack_med,female == 1,regression,none
universe_78.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qblack_med,female == 0,regression,none
universe_79.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qblackxb_med,,regression,none
universe_80.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qblackxb_med,female == 1,regression,none
universe_81.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qblackxb_med,female == 0,regression,none
universe_82.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qwhite_med,,regression,none
universe_83.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qwhite_med,female == 1,regression,none
universe_84.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qwhite_med,female == 0,regression,none
universe_85.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qwhitexb_med,,regression,none
universe_86.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qwhitexb_med,female == 1,regression,none
universe_87.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,qwhitexb_med,female == 0,regression,none
universe_88.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,sumq,,regression,none
universe_89.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,sumq,female == 1,regression,none
universe_90.R,_start->Model->Output_Model->Adjust_Effect_Size_Model->O,sumq,female == 0,regression,none
